Substance Evaluation - CoRAP list
Note: Group entries are split in different rows.
Export date: 09-mai-2024 09:03:23
Last updated 02-mai-2024. Database contains 402 unique substances/entries.

"Substance Identifier"	""	
"Evaluating Member State"	""	
"Status"	""	
"Initial grounds for concern (operator is and)"	"true"	
"Initial grounds for concerns"



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Co-Evaluating Member State"	"Year"	"Evaluating Member State"	"Initial grounds for concern"	"Status"	"Latest update"	"Decisions"	"Conclusion document"	"Justification documents"	"CoRAP publication date"	"MS address"	"Member State (MS) contact details"	"MS remarks"	"Further information"	"Remarks"	"DISLIST_CORAP_diss_concern"	"DISLIST_CORAP_relevance"	"First published"	
"1,3-diphenylguanidine"	""	"203-002-1"	"102-06-7"	""	"2012"	"France"	"CMR""High (aggregated) tonnage""High RCR"	"Concluded"	"14-avr.-2021"	"https://echa.europa.eu/documents/10162/9ad22c6f-cfb2-3220-8ad0-f5fdf87dc846""https://echa.europa.eu/documents/10162/df964356-f6b4-16df-0ed8-d49bb799c743"	"https://echa.europa.eu/documents/10162/4df27360-03aa-3c93-54f0-08f8366f42f3"	""	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	""	"As an outcome of the SEv follow-up process, a second SEv draft Decision requesting further information has been sent to the Registrant(s). The second SEv draft decision was withdrawn after considering registrant&#39;s comments and ECHA&#39;s proposal for amendments.  "	"CMR""High (aggregated) tonnage""High RCR"	""	"12-janv.-2016"	
"2,2',2''-nitrilotriethanol"	""	"203-049-8"	"102-71-6"	""	"2014"	"United Kingdom"	"Suspected CMR""Suspected Sensitiser""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/d1a889f1-ef21-99a8-fa0f-ec4bfee407ed""https://echa.europa.eu/documents/10162/345fba73-7ce5-1443-ebf2-eb7335fde29d"	"https://echa.europa.eu/documents/10162/aadca256-772b-a261-3c90-4faa3be139e8"	"29-févr.-2012"	"4N.G Redgrave Court, Merton Road, Bootle, Merseyside L20 7HS 
"	"UK REACH CA Health and Safety Executive"	""	""	""	"Suspected CMR""Suspected Sensitiser""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"19-janv.-2016"	
"2-ethylhexyl acetate"	""	"203-079-1"	"103-09-3"	""	"2015"	"Belgium"	"Suspected CMR""Consumer use""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/13abfddf-d1a3-f045-65cf-17df6832cfc8"	"https://echa.europa.eu/documents/10162/19ecd2b5-25a6-60ec-b2e5-0cc716f1e551"	"20-mars-2013"	""	"Federal Public Service Health, Food Chain Safety and Environment"	""	""	""	"Suspected CMR""Consumer use""Wide dispersive use"	""	"14-janv.-2016"	
"Bis(2-ethylhexyl) adipate"	""	"203-090-1"	"103-23-1"	""	"2020"	"Finland"	"Suspected CMR""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-août-2021"	""	"https://echa.europa.eu/documents/10162/a6b24ab9-09c8-2bd4-14d8-d5e61fff2ca1"	"https://echa.europa.eu/documents/10162/f500475e-09ab-aecb-a438-8672e4588c53"	"20-mars-2013"	""	"Turvallisuus- ja kemikaalivirasto (Tukes) / Finnish Safety and Chemicals Agency (Tukes)"	""	""	""	"Suspected CMR""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"2-ethylhexan-1-ol"	""	"203-234-3"	"104-76-7"	""	"2014"	"Poland"	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/f762cd01-0435-8ae3-13da-873233049e31"	"https://echa.europa.eu/documents/10162/294b0fd9-1ffb-830f-f7fb-55f425fc9996"	"26-mars-2014"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"19-janv.-2016"	
"4-methylanisole"	""	"203-253-7"	"104-93-8"	""	"2021"	"Ireland"	"Reprotoxic"	"Concluded"	"10-févr.-2023"	""	"https://echa.europa.eu/documents/10162/7613def4-965e-956f-0d53-9afbcc66202b"	"https://echa.europa.eu/documents/10162/9522181a-05b3-1aa8-2f0e-3a5da1299178"	"17-mars-2021"	""	"Health and Safety Authority"	""	""	""	"Reprotoxic"	""	"17-mars-2021"	
"4-methylanisole"	""	"203-253-7"	"104-93-8"	""	"2012"	"Ireland"	"CMR""Consumer use""High RCR""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/f68a1e07-d757-c192-655f-f2c0de9da66f"	""	"29-févr.-2012"	"The Metropolitan Building, James Joyce Street, Dublin 1, Ireland 
"	"Health and Safety Authority"	""	""	""	"CMR""Consumer use""High RCR""Wide dispersive use"	""	"19-janv.-2016"	
"1,3-diethyl-2-thiourea"	""	"203-308-5"	"105-55-5"	""	"2019"	"Poland"	"Suspected Carcinogenic""Suspected Sensitiser""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	"Concluded"	"09-déc.-2020"	""	"https://echa.europa.eu/documents/10162/b905927f-00db-52e8-6bf5-69b88a721748"	"https://echa.europa.eu/documents/10162/1eabb394-8f53-16d1-bb75-e43076b424e6"	"19-mars-2019"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected Carcinogenic""Suspected Sensitiser""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	""	"19-mars-2019"	
"2,2'-methyliminodiethanol"	""	"203-312-7"	"105-59-9"	""	"2013"	"United Kingdom"	"Suspected CMR""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/3dfb4c65-8843-4b5d-3fe3-5e3557d07363"	"https://echa.europa.eu/documents/10162/db63ba24-3903-6117-8fb8-04f4885f541b"	"20-mars-2013"	"4N.G Redgrave Court, Merton Road, Bootle, Merseyside L20 7HS 
"	"UK REACH CA Health and Safety Executive"	""	""	""	"Suspected CMR""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"19-janv.-2016"	
"Bis(2-ethylhexyl)amine"	""	"203-372-4"	"106-20-7"	""	"2019"	"Portugal"	"Suspected PBT/vPvB""Exposure of environment"	"Ongoing"	"03-août-2023"	"https://echa.europa.eu/documents/10162/b899d83c-91b9-ad9e-a57c-d23eeb370399"	""	"https://echa.europa.eu/documents/10162/7e10f7c5-49d9-5fa0-b526-189d05179859""https://echa.europa.eu/documents/10162/764772d8-63b7-b0c3-4d4c-b958d7a612bf"	"19-mars-2019"	"Rua da Murgueira, 9 - Bairro Zambujal - Alfragide, 2610-124 Amadora

"	"Portuguese Environment Agency"	""	""	""	"Suspected PBT/vPvB""Exposure of environment"	""	"14-janv.-2016"	
"Citronellal"	""	"203-376-6"	"106-23-0"	""	"2015"	"Sweden"	"Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/5d4a0da5-2741-42f1-0d3a-3c155ca1d9c2"	"https://echa.europa.eu/documents/10162/f17a8bd5-6a53-ab01-145a-a5c5baaf17dc"	"26-mars-2014"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden 
"	"Swedish Chemicals Agency"	""	""	""	"Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"19-janv.-2016"	
"p-xylene"	""	"203-396-5"	"106-42-3"	""	"2015"	"Germany"	"Suspected CMR""Suspected Sensitiser""Consumer use""Cumulative exposure""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"28-oct.-2021"	"https://echa.europa.eu/documents/10162/fef1d650-278e-90ed-0825-2a229adf99b6"	"https://echa.europa.eu/documents/10162/18af70a3-0a82-65c9-cda3-0625273534e0"	"https://echa.europa.eu/documents/10162/d73bea25-fecf-6452-4f4c-f7280947ecf8"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"Due to the indication of structural similarity between EC: 202-422-2, 203-396-5, 203-576-3, there may be a (potential) joined evaluation of these substances."	"Suspected CMR""Suspected Sensitiser""Consumer use""Cumulative exposure""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"p-cresol"	""	"203-398-6"	"106-44-5"	""	"2015"	"United Kingdom"	"Suspected CMR""Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/47e4156c-53e6-c5ea-360a-f5ea6b0f7bad"	"https://echa.europa.eu/documents/10162/ad2547c0-52e2-b20f-2df2-5f97da45b719"	"29-févr.-2012"	"4N.G Redgrave Court, Merton Road, Bootle, Merseyside L20 7HS 
"	"UK REACH CA Health and Safety Executive"	""	""	""	"Suspected CMR""Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Buta-1,3-diene"	""	"203-450-8"	"106-99-0"	""	"2014"	"Germany"	"CMR""Other exposure/risk based concern"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/8f901e1e-bdb6-308b-8701-44f0aeb1df6f""https://echa.europa.eu/documents/10162/84abc620-84a1-476e-51a6-ca3a183122be"	"https://echa.europa.eu/documents/10162/40eaa4e7-6e33-a7e6-6ea6-cb15145da681"	"20-mars-2013"	"Division 5, Federal Office for Chemicals, Authorisation of Biocides, Friedrich-Henkel-Weg 1-25 44149 Dortmund 
"	"Federal Institute for Occupational Safety and Health; Division 5 &#34;Federal Office for Chemicals, Authorisation of Biocides&#34;"	""	""	""	"CMR""Other exposure/risk based concern"	""	"19-janv.-2016"	
"methyl vinyl ether"	""	"203-475-4"	"107-25-5"	""	"2018"	"Latvia"	"Suspected Reprotoxic""Consumer use""Exposure of sensitive populations""Exposure of workers""Other exposure/risk based concern"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/b683b6f0-addc-25f2-9e83-f827793c1fb1"	"https://echa.europa.eu/documents/10162/afe7c52c-6ce8-e748-1da3-b40e17166054"	"17-mars-2015"	"Maskavas street 165, LV-1019 
"	"Latvian Environment, Geology and Meteorology Centre"	""	""	""	"Suspected Reprotoxic""Consumer use""Exposure of sensitive populations""Exposure of workers""Other exposure/risk based concern"	""	"14-janv.-2016"	
"Hexamethyldisiloxane"	""	"203-492-7"	"107-46-0"	""	"2013"	"Norway"	"Suspected CMR""Consumer use""High (aggregated) tonnage"	"Information requested"	"24-mars-2020"	"https://echa.europa.eu/documents/10162/76e3216d-f4f5-1f6e-59a2-ad7991510ce5"	""	"https://echa.europa.eu/documents/10162/b3eb00a5-ed91-f8e5-289e-b2ee4038ff86"	"29-févr.-2012"	"P.o.Box 5672 Torgarden, NO-7485 Trondheim, Norway "	"Norwegian Environment Agency"	""	""	""	"Suspected CMR""Consumer use""High (aggregated) tonnage"	""	"19-janv.-2016"	
"Octamethyltrisiloxane"	""	"203-497-4"	"107-51-7"	""	"2015"	"Norway"	"Suspected PBT/vPvB""Consumer use""Wide dispersive use"	"Concluded"	"31-mars-2022"	"https://echa.europa.eu/documents/10162/c92e5670-d4f1-8b9b-a87c-25e676785d2b"	"https://echa.europa.eu/documents/10162/8419cc85-de6a-66e2-94a4-fd99e27e3d2c"	"https://echa.europa.eu/documents/10162/91e9debf-5e8d-2738-b6e0-dd1235909e26"	"17-mars-2015"	"P.o.Box 5672 Torgarden, NO-7485 Trondheim, Norway
"	"Norwegian Environment Agency"	""	""	""	"Suspected PBT/vPvB""Consumer use""Wide dispersive use"	""	"14-janv.-2016"	
"Tetradecamethylhexasiloxane"	""	"203-499-5"	"107-52-8"	""	"2024"	"Spain"	"Suspected PBT/vPvB""Consumer use""Exposure of environment""Wide dispersive use"	"Ongoing"	"19-mars-2024"	""	""	"https://echa.europa.eu/documents/10162/1247fa98-3f59-2b06-249c-14c8c79990e6"	"19-mars-2024"	"Plaza de San Juan de la Cruz s/n, 28071-Madrid, Spain "	"Ministry for the Ecological Transition and the Demographic Challenge"	""	""	""	"Suspected PBT/vPvB""Consumer use""Exposure of environment""Wide dispersive use"	""	"19-mars-2024"	
"Vinyl acetate"	""	"203-545-4"	"108-05-4"	""	"2019"	"Latvia"	"Suspected Reprotoxic""Potential endocrine disruptor""Suspected Sensitiser""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"16-nov.-2020"	""	"https://echa.europa.eu/documents/10162/d2caa33d-6373-1599-6fa0-67fb50ae9cf0"	"https://echa.europa.eu/documents/10162/5bdb8c16-01b6-19c0-1d1e-c464f793c64f"	"22-mars-2016"	"Maskavas street 165, Riga, LV- 1019"	"Latvian Environment, Geology and Meteorology Centre"	""	""	""	"Suspected Reprotoxic""Potential endocrine disruptor""Suspected Sensitiser""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"22-mars-2016"	
"Succinic anhydride"	""	"203-570-0"	"108-30-5"	""	"2013"	"Austria"	"Suspected CMR""Sensitiser""High (aggregated) tonnage""High RCR"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/62ebdbe4-b7ca-e5be-ca29-5652268bc6db""https://echa.europa.eu/documents/10162/be30e2c6-52aa-24e1-693b-0a7783d81ae0"	"https://echa.europa.eu/documents/10162/cee5e0af-9dc8-393f-f7bd-0ed086714a3e"	"20-mars-2013"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria 
"	"Umweltbundesamt GmbH  Abteilung Chemikalien/Department Chemicals"	""	""	""	"Suspected CMR""Sensitiser""High (aggregated) tonnage""High RCR"	""	"14-janv.-2016"	
"Maleic anhydride"	""	"203-571-6"	"108-31-6"	""	"2013"	"Austria"	"Sensitiser""High (aggregated) tonnage""High RCR"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/638d76a4-424c-2490-b47b-bcd627806ff6""https://echa.europa.eu/documents/10162/f60fde61-d0e4-1a11-3ce9-27addb7f3b96"	"https://echa.europa.eu/documents/10162/1c1fde18-d6bc-3a86-f16a-25f99ff91cb7"	"20-mars-2013"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria 
"	"Umweltbundesamt GmbH "	""	""	""	"Sensitiser""High (aggregated) tonnage""High RCR"	""	"14-janv.-2016"	
"m-xylene"	""	"203-576-3"	"108-38-3"	""	"2015"	"Germany"	"Suspected CMR""Suspected Sensitiser""Consumer use""Cumulative exposure""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"28-oct.-2021"	"https://echa.europa.eu/documents/10162/bdeb97f4-a8b5-4256-ac9e-5c956e8d1d10"	"https://echa.europa.eu/documents/10162/4e04518b-5cd8-11a6-04e3-982bada1763e"	"https://echa.europa.eu/documents/10162/c53af986-69e5-0fb0-7718-5c4b52463003"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"Due to the indication of structural similarity between EC: 202-422-2, 203-396-5, 203-576-3, there may be a (potential) joined evaluation of these substances."	"Suspected CMR""Suspected Sensitiser""Consumer use""Cumulative exposure""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"m-phenylenediamine"	""	"203-584-7"	"108-45-2"	""	"2018"	"Latvia"	"Suspected Reprotoxic""Sensitiser""Exposure of workers""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/15975a9b-6d14-027b-9c6a-e143a7afcf4f"	"https://echa.europa.eu/documents/10162/657e82fa-b251-c297-f49d-80a2e619fd13"	"22-mars-2016"	"Maskavas street 165, Riga, LV- 1019"	"Latvian Environment, Geology and Meteorology Centre"	""	""	""	"Suspected Reprotoxic""Sensitiser""Exposure of workers""High (aggregated) tonnage"	""	"22-mars-2016"	
"Resorcinol"	""	"203-585-2"	"108-46-3"	""	"2016"	"Finland"	"Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/97172844-3552-65bd-a03e-c75e445c0b62"	"https://echa.europa.eu/documents/10162/389cb4ea-328d-4840-69d6-4a8d648e892f"	"29-févr.-2012"	""	"Turvallisuus- ja kemikaalivirasto (Tukes) / Finnish Safety and Chemicals Agency (Tukes)"	""	""	""	"Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Resorcinol"	""	"203-585-2"	"108-46-3"	""	"2019"	"France"	"Potential endocrine disruptor""High (aggregated) tonnage"	"Information requested"	"19-janv.-2023"	"https://echa.europa.eu/documents/10162/b2997c59-8d52-b1bd-32c9-795668b7777b"	""	"https://echa.europa.eu/documents/10162/a4fc9130-88d7-0b52-d076-4841e0fa1794"	"19-mars-2019"	"14, rue Pierre et Marie Curie 94700 MaisonsAlfort, Cedex"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses), Chemicals Assessment Unit"	""	"<a href=""https://echa.europa.eu/documents/10162/38648a11-a0d3-8482-afaa-3cdd82ba13e6"">The Board of Appeal in its decision in Case No. A-009-2021 has upheld a SEv decision for this substance:</a>"	""	"Potential endocrine disruptor""High (aggregated) tonnage"	""	"19-mars-2019"	
"2,4,6-trichloro-1,3,5-triazine"	""	"203-614-9"	"108-77-0"	""	"2017"	"Poland"	"Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/01b3c64e-a1d9-ee91-8103-13d129efc718"	"https://echa.europa.eu/documents/10162/2b411e17-32c1-1df5-f997-53b4d98115c1"	"22-mars-2016"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage"	""	"22-mars-2016"	
"Methylcyclohexane"	""	"203-624-3"	"108-87-2"	""	"2013"	"Finland"	"Suspected PBT/vPvB""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/7102cfbb-f252-d22e-e31c-2f5162be2676"	"https://echa.europa.eu/documents/10162/1ad598f1-fc60-ee06-3c0a-adf108edb5fa"	"https://echa.europa.eu/documents/10162/2b000260-cbf4-43be-93e1-03ecb2538b3c"	"29-févr.-2012"	""	"Turvallisuus- ja kemikaalivirasto (Tukes) / Finnish Safety and Chemicals Agency (Tukes)"	""	""	""	"Suspected PBT/vPvB""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Toluene"	""	"203-625-9"	"108-88-3"	""	"2012"	"Finland"	"CMR""Other hazard based concern""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/134bf275-0ba7-af48-7f8d-98970be688a9""https://echa.europa.eu/documents/10162/42f18c7c-d423-093e-c2ec-956ee4d37f69"	""	"29-févr.-2012"	""	"Turvallisuus- ja kemikaalivirasto (Tukes) / Finnish Safety and Chemicals Agency (Tukes)"	""	""	""	"CMR""Other hazard based concern""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Chlorobenzene"	""	"203-628-5"	"108-90-7"	""	"2023"	"Netherlands"	"Suspected Mutagenic""Suspected Reprotoxic""Potential endocrine disruptor""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Ongoing"	"21-mars-2023"	""	""	"https://echa.europa.eu/documents/10162/34afd402-3db5-33f5-ae9b-fbbb31614fb0"	"21-mars-2023"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string:
”SUBSTANCE EVALUATION”"	""	""	"Suspected Mutagenic""Suspected Reprotoxic""Potential endocrine disruptor""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"21-mars-2023"	
"Cyclohexylamine"	""	"203-629-0"	"108-91-8"	""	"2016"	"Belgium"	"Reprotoxic""Exposure of environment""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/0f4ba4c9-1f1b-6027-52aa-230ab21ef6f8"	"https://echa.europa.eu/documents/10162/61246c3b-3761-5644-a9cf-e960f0dd8852"	"26-mars-2014"	""	"Federal Public Service Health, Food Chain Safety and Environment"	""	""	""	"Reprotoxic""Exposure of environment""High (aggregated) tonnage"	""	"14-janv.-2016"	
"Cyclohexanone"	""	"203-631-1"	"108-94-1"	""	"2016"	"Poland"	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/d7f40e5b-de43-8d69-b9b8-ab2c2ec18110"	"https://echa.europa.eu/documents/10162/4c1c5377-486a-3a04-4ecf-b09ed6c988fd"	"22-mars-2016"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"22-mars-2016"	
"Phenol"	""	"203-632-7"	"108-95-2"	""	"2015"	"Denmark"	"Suspected Mutagenic""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""High RCR"	"Concluded"	"09-nov.-2021"	""	"https://echa.europa.eu/documents/10162/de108693-1d4f-abfe-818e-9cea812ab4c2"	"https://echa.europa.eu/documents/10162/ee4cf39c-9553-03ce-cf46-1f5704d17684"	"17-mars-2015"	""	"Danish EPA, Chemicals Division"	""	""	""	"Suspected Mutagenic""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""High RCR"	""	"14-janv.-2016"	
"3-aminopropyldimethylamine"	""	"203-680-9"	"109-55-7"	""	"2014"	"Austria"	"Sensitiser""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"08-févr.-2023"	""	"https://echa.europa.eu/documents/10162/343f7eee-5336-7511-5913-45f8c862d72a"	"https://echa.europa.eu/documents/10162/c083fa30-d809-4fc5-4880-dc0e37cce046"	"26-mars-2014"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria
"	"Umweltbundesamt GmbH, Abteilung Chemikalien/ Department Chemicals"	""	""	""	"Sensitiser""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"propyl acetate"	""	"203-686-1"	"109-60-4"	""	""	"Ireland"	"Suspected Reprotoxic""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Withdrawn"	"21-mars-2023"	""	""	"https://echa.europa.eu/documents/10162/033c9071-f9a1-e8e6-8e8e-3e50832faaa7""https://echa.europa.eu/documents/10162/ba76ddf9-bf23-4ee6-8510-16f0b0e4d92a"	"17-mars-2015"	"The Metropolitan Building, James Joyce Street, Dublin D01 K0Y8, Ireland"	"Health and Safety Authority"	""	""	"Data generated under dossier evaluation or other publicly available information sufficiently address and clarify the initial concern(s)."	"Suspected Reprotoxic""Other hazard based concern""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Tetrahydrofuran"	""	"203-726-8"	"109-99-9"	""	"2013"	"Germany"	"CMR""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	"https://echa.europa.eu/documents/10162/835e9e08-4884-6bca-1f46-4f202b3ef9bf"	"https://echa.europa.eu/documents/10162/ddee5811-405d-e609-ed17-e50cae51f2ed"	"https://echa.europa.eu/documents/10162/50e212ed-8acc-362e-9287-3b996e0b7008"	"29-févr.-2012"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"CMR""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Di-tert-butyl peroxide"	""	"203-733-6"	"110-05-4"	""	"2016"	"Netherlands"	"CMR""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"07-févr.-2022"	""	"https://echa.europa.eu/documents/10162/0d8dd921-cffb-6686-cb03-6760ec5a5eae"	"https://echa.europa.eu/documents/10162/5a70b7f6-9daa-2aef-cca8-ce4ed49d9993"	"20-mars-2013"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string: ”SUBSTANCE EVALUATION&#34;."	""	""	"CMR""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"n-hexane"	""	"203-777-6"	"110-54-3"	""	"2012"	"Germany"	"CMR""Other hazard based concern""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/93cf0855-0657-61d8-0653-477609bbea3c"	"https://echa.europa.eu/documents/10162/9ec3d80b-452f-08d6-bfdc-d55d2c05118a"	""	"29-févr.-2012"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"CMR""Other hazard based concern""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"1,3,5-trioxane"	""	"203-812-5"	"110-88-3"	""	"2013"	"Poland"	"Suspected CMR""Suspected PBT/vPvB""Suspected Sensitiser""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/638e7b99-9e49-082c-9dfe-6f417d9767fa""https://echa.europa.eu/documents/10162/e5252677-8799-a9b2-bd8e-0ca23ba69fab"	"https://echa.europa.eu/documents/10162/950e157f-5ca8-2c93-1d7a-96dcca0692d6"	"29-févr.-2012"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected CMR""Suspected PBT/vPvB""Suspected Sensitiser""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"1,1'-iminodipropan-2-ol"	""	"203-820-9"	"110-97-4"	""	"2013"	"Czech Republic"	"Suspected CMR""Suspected Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/46a5d56b-b1df-15ac-08c6-6ecf67b6d8ec""https://echa.europa.eu/documents/10162/e21a087a-de25-5e43-86e3-413a940bcbd9"	"https://echa.europa.eu/documents/10162/6e4baa7c-31d6-dd24-dea0-270ffacf0df6"	"20-mars-2013"	"Vršovická 65, 100 00 Praha 10, Czech Republic 
"	"Ministry of Environment of the Czech Republic"	""	""	""	"Suspected CMR""Suspected Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
