Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"8-hydroxy-7-[[4'-[[1-hydroxy-6-(phénylamino)-3-sulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-1,3,6-trisulfonate de tétrasodium",,85135-91-7,285-712-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"8-hydroxy-7-[[4'-[[1-hydroxy-6-(phénylamino)-3-sulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-1,6-disulfonate de trisodium",,6655-96-5,229-684-0,611-029-00-9,,,24230,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
9-vinylcarbazole,,1484-13-5,,613-169-00-6,1ère,,,,,M2,,,,,
Abamectine (combinaison d'avermectine B1a et avermectine B1b) (ISO),,71751-41-2,,606-143-00-0,3ème,,,,,,,R2,H361d,,
Acétaldéhyde,"éthanal , aldéhyde acétique",75-07-0,,605-003-00-6,12ème,,,C1B,,M2,,,,,
Acétamide,,60-35-5,,616-022-00-4,,,,C2,,,,,,,
Acétamipride (ISO),,135410-20-7,,608-032-00-2,18ème,,,,,,,R2,H361d,,
Acétate de 2-éthoxyéthyle,"acétate d'éther monoéthylique d'éthylène-glycol , acétate d'éthylglycol",111-15-9,,607-037-00-7,1ère,,,,,,,R1B,H360FD,,
Acétate de 2-méthoxyéthyle,"acétate d'éther monométhylique d'éthylène-glycol , acétate de méthylglycol",110-49-6,,607-036-00-1,,,,,,,,R1B,H360FD,,
Acétate de 2-méthoxypropyle,,70657-70-4,,607-251-00-0,,,,,,,,R1B,H360D,,
Acétate de chrysoïdine,"acétate de 4-(phénylazo)benzène-1,3-diamine",79234-33-6,,611-152-00-8,1ère,,,,,M2,,,,,
Acétate de dodémorphe,"acétate de 4-cyclododécyl-2,6-diméthylmorpholine",31717-87-0,,607-712-00-6,7ème,,,,,,,R2,H361d,,
Acétate de fentine (ISO),acétate de triphénylétain,900-95-8,,050-003-00-6,1ère,,,C2,,,,R2,H361d,,
Acétate de méthyl-ONN-azoxyméthyle,acétate de méthylazoxyméthyle,592-62-1,,611-004-00-2,,,,C1B,,,,R1B,H360D,,
Acétate de nickel,,14998-37-9,,028-022-00-6,1ère corr,,,C1A,H350i,M2,,R1B,H360D,,
"acétate de plomb, basique",,1335-32-6,,082-007-00-9,,,,C2,,,,R1A,H360Df,,
Acétate de vinyle,,108-05-4,,607-023-00-0,5ème,,,C2,,,,,,,
Acétochlore (ISO),,34256-82-1,,616-037-00-6,9ème,,,C2,,,,R2,H361f,,
Acide (4-phénylbutyl)phosphinique,,86552-32-1,,015-198-00-4,1ère,,,C2,,,,,,,
"Acide (S)-2,3-dihydro-1H-indole-2-carboxylique",,79815-20-6,,607-330-00-X,,,,,,,,R2,H361f,,
Acide (Z)-2-méthoxymino-2-[2-(tritylamino)thiazol-4-yl]acétique,,64485-90-1,,607-525-00-X,1ère,,,C2,,,,,,,
"Acide 1-cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylique",,93107-30-3,,607-303-00-2,,,,,,,,R2,H361f,,
"Acide 2,7-naphtalènedisulfonique, 4-[[4'-[(2,4-diamino-5-sulfophényl)azo]-3,3'-diméthoxy[1,1'-biph&eacute;nyl]-4-yl]azo]-3-hydroxy-, sel de sodium, composé avec le 2,2',2''-[nitrilotris(1,2-éthanediyloxy)] tris[éthanol]",,85283-97-2,286-625-1,609-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2,7-naphtalènedisulfonique, 4-amino-6-[[4'-[(2,4-diamino-5-sulfophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-3-[(4-nitrophényl)azo], sel de sodium, composé avec le 2,2',2''-[nitrilotris(1,2-éthanediyloxy)]tris[éthanol]",,85283-98-3,286-626-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2,7-naphtalènedisulfonique, 5-[(2-amino-4-hydroxyphényl)azo]-3-[[4'-[[7-[(2-amino-4-hydroxyphényl)azo]-1-hydroxy-3-sulfo-2-naphtalényl]azo]-3,3'-diméthyl[1,1'-biphényl]-4yl]azo]-4-hydroxy-, sel de sodium",,57167-02-9,260-603-1,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 2,7-naphtalènedisulfonique, 5-[(4,5-dihydro-3-méthyl-5-oxo-1-phényl-1H-pyrazol-4yl)azo]-4-hydroxy-3-[[4'-[(2-hydroxy-3,6-disulfo-1-naphtalényl)azo]-3,3'-diméthoxy[1,1'-biphényl]4-yl]azo]-, sel tétrasodique",,66214-47-9,266-246-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2,7-naphthalènedisulfonique, sel de nickel(II)",,72319-19-8,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"Acide 2-[[2-amino-5-hydroxy-6-[[4'-[(2-hydroxy-6-sulfo-1-naphtyl)azo-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-7-sulfo-1-naphtyl]azo]-5-nitrobenzoique, sel de sodium",,83221-79-8,280-259-6,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2-aminobenzoique diazoté, couplé avec l'acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique, la 3,3'-diméthyl[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[(5-hydroxy-1,3- phénylène)bis(oxy)]-5,5' bis[1,3-benzènediol], sel de sodium",,98072-78-7,308-534-9,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 2-aminobenzoïque diazoté, couplé avec l'acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique, la 3,3'-diméthyl[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-oxybis[1,3-benzènediol], sel de sodium",,98072-79-8,308-535-4,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 2-aminobenzoïque diazoté couplé avec l'acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique, la 3,3'-diméthyl[1,1'-biphényl]-4,4'-diamine diazotée et l'[oxybis[(5-hydroxy-1,3-phénylène)oxy]]-5,5' bis[1,3-benzènediol], sel de sodium",,98072-80-1,308-537-5,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
Acide 2-éthylhexanoïque,,149-57-5,,607-230-00-6,18ème,,,,,,,R1B,H360D,,"Dans la 18ème ATP, passage de la classification R2 à R1B"
"Acide 2-éthylhexanoïque et ses sels, à l'exception de ceux mentionnés ailleurs dans la présente liste",,,,607-230-00-6,20ème,,,,,,,R1B,H360D,La 18ème ATP est applicable à partir du 1er décembre 2023,"Dans la 18ème ATP, création d'une entrée englobant l'acide 2-éthylhexanoïque (voir entrée avec cas: 149-57-5) et les sels de l'acide 2-éthylhexanoïque. Pas de modification de classification CMR dans la 20ème ATP."
"Acide 2-éthylhexanoïque, sel de nickel",,7580-31-6,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"Acide 2-hydroxybenzoique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[oxybis[(5-hydroxy-1,3-phénylène)oxy]]bis[1,3-benzènediol], sels de sodium",,97952-84-6,308-379-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2-hydroxybenzoique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'- diamine diazotée et le 5,5'-[(5-hydroxy-1,3-phénylène)bis(oxy)]bis[1,3-benzènediol], sels de sodium",,97952-82-4,308-377-6,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 2-hydroxybenzoique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-oxybis[1,3-benzènediol], sels de sodium",,97952-83-5,308-378-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonique], sel d'ammonium, de potassium et de sodium",,93964-43-3,300-890-3,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonique], sel de lithium et de sodium",,83400-08-2,280-423-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonique], sel de sodium",,68966-50-7,273-439-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonique], sel de sodium, composé avec 2,2'-iminodiéthanol",,68966-43-8,273-433-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 3-[[3,3'-diméthyl-4'-[[4-[[(para-tolyl)sulfonyl]oxy]phényl]azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonique",,93804-34-3,298-409-4,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 3-[[3,3'-diméthyl-4'-[[4-[[(para-tolyl)sulfonyl]oxy]phényl]azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonique, sel de sodium",,93804-33-2,298-408-9,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 3-[[4'-[(6-amino-1-hydroxy-3-sulfo-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonique, sel de sodium",,85749-99-1,288-523-2,611-024-00-1,,,22460,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 3-hydroxy-4-[[4'-[[1-hydroxy-6-(phénylamino)-3-sulfo-2-naphtyl]azo]-3,3'- diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonique",,63216-84-2,264-003-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
Acide 3-oxoandrost-4-ène-17β-carboxylique,,302-97-6,,607-518-00-1,1ère corr,,,,,,,R2,H361f,,
"Acide 4,4'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis[azo(4,5-dihydro-3-méthyl-5-oxo-1H-pyrazole-4,1-diyl)]]bis(benzènesulfonique)",,84682-05-3,283-565-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4,4'-[[1,1'-biphényl]-4,4'-diyldiazo]bis[4,5-dihydro-5-oxo-1-(4-sulfophényl)-1H-pyrazole-3-carboxylique], sel de sodium",,94199-52-7,303-425-2,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-[[4'-[(2,4-diamino-5-sulfophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-3-hydroxynaphtalène-2,7-disulfonique, sel de sodium",,83763-78-4,280-766-2,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-[[4'-[[2,4-dihydroxy-5-[(4-sulfophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]-4,5-dihydro-5-oxo-1-(4-sulfophényl)-1H-pyrazole-3-carboxylique, sel de sodium",,94199-53-8,303-426-8,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(2,4-diaminophényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,85480-85-9,287-367-2,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(2,4-diaminophényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,85480-86-0,287-368-8,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonique, sel de potassium et de sodium",,84100-78-7,282-158-2,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique",,94022-39-6,301-536-0,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 4-amino-3-[[4'-[(2,4-dihydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique",,93920-41-3,300-127-4,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(2,4-dihydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2 ,7-disulfonique",,94022-40-9,301-537-6,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 4-amino-3-[[4'-[(4-amino-2-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,85750-07-8,288-532-1,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(8-amino-1-hydroxy-3,6-disulfo-2-naphtyl)azo][1,1'-biphén yl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,85480-84-8,287-366-7,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-3-[[4'-[(8-amino-1-hydroxy-3,6-disulfo-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique",,93920-42-4,300-129-5,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[(5-hydroxy-1,3-phénylene)bis(oxy)]bis[1,3-benzènediol], sels de sodium",,98073-01-9,308-559-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[oxybis[(5-hydroxy-1,3-phénylène)oxy]]bis[1,3-benzènediol], sels de sodium",,98073-03-1,308-561-6,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-oxybis[1,3-benzènediol], sels de sodium",,98073-02-0,308-560-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec l'acide 2'-(4-amino-4 phényl)-6-méthyl[2,6'-bibenzothiazole]-7-sulfonique diazoté, la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[oxybis[(5-hydroxy-1,3-phénylène)oxy]]bis[1,3-benzènediol], sels de sodium",,98072-97-0,308-554-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec l'acide 2'-(4-aminophényl)-6-méthyl[2,6'-bibenzothiazole]-7-sulfonique diazoté, la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-[(5-hydroxy-1,3-phénylène)bis(oxy)]bis[1,3-benzènediol], sels de sodium",,98072-95-8,308-552-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-2,7-naphtalènedisulfonique couplé avec l'acide 2'-(4-aminophényl)-6-méthyl[2,6'-bibenzothiazole]-7-sulfonique diazoté, la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée et le 5,5'-oxybis[1,3-benzènediol], sels de sodium",,98072-96-9,308-553-2,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 4-amino-5-hydroxy-3-[[4'-[(2-hydroxy-1-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,85750-05-6,288-530-0,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-5-hydroxy-3-[[4'-[(4-hydroxy-meta-tolyl)azo][1,1'-biphényl]-4-yl]azo]-6-(phénylazo)naphtalène-2,7-disulfonique, sel de sodium",,85750-06-7,288-531-6,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-5-hydroxy-3-[[4'-[[2-hydroxy-4-[(ortho-tolyl)amino]phényl]azo][1,1'-biphényl]-4-yl]azo]-6-(phénylazo)naphtalène-2,7-disulfonique, sel de sodium",,85750-00-1,288-524-8,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-5-hydroxy-3-[[4'-[[4-hydroxy-2-[(ortho-tolyl)amino]phényl]azo][1,1'-biphényl]-4-yl]azo]-6-[(4-sulfophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,98705-48-7,308-870-6,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 4-amino-5-hydroxy-6-[[4'-[(4-hydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-3-[(4-nitrophényl)azo]naphtalène-2,7-disulfonique",,56148-97-1,260-016-0,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 4-amino-6-[[4'-[(2,4-diamino-5-sulfophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-3-[(4-nitrophényl)azo]naphtalène-2,7-disulfonique, sel de sodium",,83763-77-3,280-765-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
Acide 4-tert-butylbenzoïque,,98-73-7,,607-698-00-1,3ème,,,,,,,R1B,H360F,,
"Acide 5,5'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis[azo(2-amino-5-hydroxy-7-sulfonaphtalène-6,1-diyl)azo]]bis[1H-1,2,4-triazole-3-carboxylique], sel d'ammonium et de sodium",,83721-51-1,280-578-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 5-[[4'-[(2-amino-8-hydroxy-6-sulfo-1-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylique, sel de sodium",,94022-44-3,301-541-8,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 5-[[4'-[(2-amino-8-hydroxy-6-sulfonaphtalène-1-yl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylique",,94022-43-2,301-540-2,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 5-[[4'-[(8-amino-1-hydroxy-3,6-disulfo-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylique",,93964-57-9,300-903-2,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"acide 5-[[4'-[[4,5-dihydro-3-méthyl-5-oxo-1-(4-sulfophényl)-1H-pyrazole-4-yl]azo][1,1'-biphényl]-4-yl]azo]-3-méthylsalicylique, sel de sodium",,94109-00-9,302-438-0,611-024-00-1,,,22430,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 5-[[4'-[[4-[[4-amino-6 (ou 7)-sulfo-1-naphtyl]azo]-6 (ou 7)-sulfo-1-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylique, sel de sodium   ",,85750-37-4,288-564-6,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 5-[[4'-[[6-amino-5-(1H-benzotriazole-4-ylazo)-1-hydroxy-3-sulfo-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-2-hydroxy-4-méthylbenzoïque",,85136-01-2,285-723-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 5-[[4'-[[8-[[2,4-dihydroxy-3-[(2-méthoxy-5-sulfophényl)azo]phényl]azo]-1-hydroxy-3,6-disulfo-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylique",,93964-59-1,300-905-3,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 5-[[4'-[[8-[[2,4-dihydroxy-3-[(2-méthoxy-5-sulfophényl)azo]phényl]azo]-1-hydroxy-3,6-disulfo-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylique, sel de sodium",,94021-36-0,301-430-4,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 5-[[4'-[[8-amino-7-[(2,4-disulfophényl)azo]-1-hydroxy-5-sulfo-2-naphtyl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylique, sel de sodium",,85283-69-8,286-598-6,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 5-amino-3-[[4'-[(6-amino-1-hydroxy-3-sulfo-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonique, sel de sodium",,94199-55-0,303-428-9,611-024-00-1,,,22565,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 5-amino-3-[[4'-[(dihydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonique, sel de sodium",,93918-27-5,299-909-5,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonique]",,3841-14-3,223-333-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonique], sel de lithium et de sodium",,83221-70-9,280-249-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonique], sel de sodium",,83763-66-0,280-754-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)diazo]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonique], sel de sodium, composé avec 2,2',2''-nitrilotriéthanol",,83763-65-9,280-753-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Acide 6-[(C10-13)-alkyl-(ramifié, insaturé)-2,5-dioxopyrrolidin-1-yl]hexanoïque",,2156592-54-8,,607-764-00-X,18ème,,,,,,,R1B,H360FD,,
"Acide 6-[(C12-18)-alkyl-(ramifié, insaturé)-2,5-dioxopyrrolidin-1-yl]hexanoïque",,,,607-765-00-5,18ème,,,,,,,R1B,H360FD,,
"Acide 6-[(C12-18)-alkyl-(ramifié, insaturé)-2,5-dioxopyrrolidin-1-yl]hexanoïque, sels de sodium et de tris(2-hydroxyéthyl)ammonium",,,,607-763-00-4,18ème,,,,,,,R1B,H360FD,,
"Acide 7-hydroxy-8-[[4'-[(2-hydroxy-8-sulfo-1-naphtyl)azo][1,1'-biphényl]-4-yl]azo]naphtalène-1,3-disulfonique, sel de sodium",,94200-00-7,303-477-6,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 7-hydroxy-8-[[4'-[(4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]naphtalène-1,3-disulfonique",,117-33-9,204-184-5,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"Acide 7-hydroxy-8-[[4'-[(4-hydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]naphtalène-1,3-disulfonique",,117-32-8,204-182-4,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide 8-[[3,3'-diméthyl-4'-[[4-[[(para-tolyl)sulfonyl]oxy]phényl]azo][1,1'-biphényl]-4-yl]azo]-7-hydroxynaphtalène-1,3-disulfonique",,25317-45-7,246-827-2,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"Acide arsénique et ses sels, à l'exception de ceux  nommément désignés dans cette liste",,,,033-005-00-1,1ère,"20,20 BIS",,C1A,,,,,,,
