Nom chimique/DCI,Numéro CAS,Numéro CE
Pyrocatéchol (catéchol),120-80-9,204-427-5
Pyrogallol,87-66-1,201-762-9
"Nitrosamines, dont diméthylnitrosoamine, nitrosodipropylamine, 2,2'-(nitrosoimino)biséthanol",62-75-9/621-64-7/1116-54-7,200-549-8/210-698-0/214-237-4
Alkyl- et alcanolamines secondaires et leurs sels,,
4-Amino-2-nitrophénol,119-34-6,204-316-1
"2-Méthyl-m-phénylènediamine (2,6-diaminotoluène)",823-40-5,212-513-9
"4-tert-Butyl-3-méthoxy-2,6-dinitrotoluène (musc ambrette)",83-66-9,201-493-7
"Cellules, tissus ou produits d'origine humaine",,
"3,3-bis(4-hydroxyphényl)phthalide [Phénolphthaléine (DCI)]",77-09-8,201-004-7
Acide-3-imidazol-4-ylacrylique (acide urocanique) et son ester éthylique,104-98-3/27538-35-8,203-258-4/248-515-1
"Matières de catégorie 1 et matières de catégorie 2, telles que définies aux articles 4 et 5 du règlement (CE) no 1774/2002 du Parlement européen et du Conseil (2), et ingrédients dérivés",,
Goudrons de houille bruts et raffinés,8007-45-2,232-361-7
"1,1,3,3,5-Pentaméthyl-4,6-dinitroindane (moskène)",116-66-5,204-149-4
"5-tert-Butyl-1,2,3-triméthyl-4,6-dinitrobenzène (musc tibétène)",145-39-1,205-651-6
"Racine d'aunée (Inula helenium L.), en cas d'utilisation comme ingrédient de parfum",97676-35-2,
"Cyanure de benzyle, en cas d'utilisation comme ingrédient de parfum",140-29-4,205-410-5
"Alcool de cyclamen, en cas d'utilisation comme ingrédient de parfum",4756-19-8,225-289-2
"Maléate de diéthyle, en cas d'utilisation comme ingrédient de parfum",0141-05-09,205-451-9
"3,4-Dihydrocoumarine, en cas d'utilisation comme ingrédient de parfum",119-84-6,204-354-9
"2,4-Dihydroxy-3-méthyl-benzaldéhyde, en cas d'utilisation comme ingrédient de parfum",6248-20-0,228-369-5
"3,7-Diméthyl-2-octèn-1-ol (6,7- dihydrogéraniol), en cas d'utilisation comme ingrédient de parfum",40607-48-5,254-999-5
"4,6-Diméthyl-8-tert-butyl-coumarine, en cas d'utilisation comme ingrédient de parfum",17874-34-9,241-827-9
"Citraconate de diméthyle, en cas d'utilisation comme ingrédient de parfum",617-54-9,
"7,11-Diméthyl-4,6,10-dodécatrièn-3-one (pseudo-méthylionone), en cas d'utilisation comme ingrédient de parfum",26651-96-7,247-878-3
"6,10-Diméthyl-3,5,9-undécatrièn-2-one (pseudo-ionone), en cas d'utilisation comme ingrédient de parfum",0141-10-6,205-457-1
"Diphénylamine, en cas d'utilisation comme ingrédient de parfum",122-39-4,204-539-4
"Acrylate d'éthyle, en cas d'utilisation comme ingrédient de parfum",140-88-5,205-438-8
"Absolue de feuilles de figuier (Ficus carica L.), en cas d'utilisation comme ingrédient de parfum",68916-52-9,
"trans-2-Hepténal, en cas d'utilisation comme ingrédient de parfum",18829-55-5,242-608-0
"trans-2-Hexénal diéthyle acétal, en cas d'utilisation comme ingrédient de parfum",67746-30-9,266-989-8
"trans-2-Hexénal diméthyl acétal, en cas d'utilisation comme ingrédient de parfum",18318-83-7,242-204-4
"Alcool hydroabiétylique, en cas d'utilisation comme ingrédient de parfum",13393-93-6,236-476-3
"6-Isopropyl-2-décahydronaphthalénol, en cas d'utilisation comme ingrédient de parfum",34131-99-2,251-841-7
"7-Méthoxycoumarine, en cas d'utilisation comme ingrédient de parfum",531-59-9,208-513-3
"4-(4-Méthoxyphényl)-3-butène-2-one (anisylidène acétone), en cas d'utilisation comme ingrédient de parfum",943-88-4,213-404-9
"1-(4-Méthoxyphényl)-1-pentène-3-one (α-méthyl anisylidène acétone), en cas d'utilisation comme ingrédient de parfum",104-27-8,203-190-5
"Méthyl trans-2-butenoate, en cas d'utilisation comme ingrédient de parfum",623-43-8,210-793-7
"7-Méthylcoumarine, en cas d'utilisation comme ingrédient de parfum",2445-83-2,219-499-3
"5-Méthyl-2,3-hexanedione (acétylisovaléryle), en cas d'utilisation comme ingrédient de parfum",13706-86-0,237-241-8
"2-Pentylidène cyclohexanone, en cas d'utilisation comme ingrédient de parfum",25677-40-1,247-178-8
"3,6,10-Triméthyl-3,5,9-undécatrièn-2-one (pseudo-isométhylionone), en cas d'utilisation comme ingrédient de parfum",1117-41-5,214-245-8
"Huiles essentielles de Verbena (Lippia citriodora Kunth.) et dérivés autres que l’absolue, en cas d’utilisation comme ingrédient de parfum",8024-12-2,285-515-0
"6-(2-Chloroéthyl)-6(2-méthoxyethoxy)-2,5,7,10-tétraoxa-6-silaundécane",37894-46-5,253-704-7
Dichlorure de cobalt,7646-79-9,231-589-4
Sulfate de cobalt,10124-43-3,233-334-2
Monoxyde de nickel,1313-99-1,215-215-7
Trioxyde de dinickel,1314-06-03,215-217-8
Dioxyde de nickel,12035-36-8,234-823-3
Disulfure de trinickel,12035-72-2,234-829-6
Tétracarbonylnickel,13463-39-3,236-669-2
Sulfure de nickel,16812-54-7,240-841-2
Bromate de potassium,7758-01-02,231-829-8
Monoxyde de carbone,630-08-0,211-128-3
"Buta-1,3-diène, voir également les nos 464-611",106-99-0,203-450-8
"Isobutane contenant > 0,1 % p/p de butadiène",75-28-5,200-857-2
"Butane contenant > 0,1 % p/p de butadiène",106-97-8,203-448-7
"Gaz (pétrole), C3-4 contenant > 0,1 % p/p de butadiène",68131-75-9,268-629-5
"Gaz de queue (pétrole), craquage catalytique de distillat et de naphta, absorbeur de colonne de fractionnement contenant > 0,1 % p/p de butadiène",68307-98-2,269-617-2
"Gaz de queue (pétrole), polymérisation catalytique de naphta, stabilisateur de colonne de fractionnement contenant > 0,1 % p/p de butadiène",68307-99-3,269-618-8
"Gaz de queue (pétrole), exempts d'hydrogène sulfuré, reformage catalytique de naphta, stabilisateur de colonne de fractionnement, contenant > 0,1 % p/p de butadiène",68308-00-9,269-619-3
"Gaz de queue (pétrole), hydrotraitement de distillats de craquage, rectificateur, contenant > 0,1 % p/p de butadiène",68308-01-0,269-620-9
"Gaz de queue (pétrole), craquage catalytique de gazole, absorbeur, contenant > 0,1 % p/p de butadiène",68308-03-02,269-623-5
"Gaz de queue (pétrole), unité de récupération des gaz, contenant > 0,1 % p/p de butadiène",68308-04-03,269-624-0
"Gaz de queue (pétrole), unité de récupération des gaz, déséthaniseur, contenant > 0,1 % p/p de butadiène",68308-05-04,269-625-6
"Gaz de queue (pétrole) désacidifiés, hydrodésulfuration de distillat et de naphta, colonne de fractionnement, contenant > 0,1 % p/p de butadiène",68308-06-05,269-626-1
"Gaz de queue (pétrole) exempts d'hydrogène sulfuré, rectificateur de gazole sous vide hydrodésulfuré, contenant > 0,1 % p/p de butadiène",68308-07-06,269-627-7
"Gaz de queue (pétrole), isomérisation du naphta, stabilisateur de colonne de fractionnement, contenant > 0,1 % p/p de butadiène",68308-08-07,269-628-2
"Gaz de queue (pétrole), exempts d'hydrogène sulfuré, stabilisateur de naphta léger de distillation directe, contenant > 0,1 % p/p de butadiène",68308-09-08,269-629-8
"Gaz de queue (pétrole), exempts d'hydrogène sulfuré, hydrodésulfuration de distillat direct, contenant > 0,1 % p/p de butadiène",68308-10-1,269-630-3
"Gaz de queue (pétrole), préparation de la charge d'alkylation propane-propylène, déséthaniseur, contenant > 0,1 % p/p de butadiène",68308-11-2,269-631-9
"Gaz de queue (pétrole), exempts d'hydrogène sulfuré, hydrodésulfuration de gazole sous vide, contenant > 0,1 % p/p de butadiène",68308-12-3,269-632-4
"Gaz (pétrole), craquage catalytique, produits de tête, contenant > 0,1 % p/p de butadiène",68409-99-4,270-071-2
"Alcanes en C1-2 contenant > 0,1 % p/p de butadiène",68475-57-0,270-651-5
"Alcanes en C2-3 contenant > 0,1 % p/p de butadiène",68475-58-1,270-652-0
"Alcanes en C3-4 contenant > 0,1 % p/p de butadiène",68475-59-2,270-653-6
"Alcanes en C4-5 contenant > 0,1 % p/p de butadiène",68475-60-5,270-654-1
"Gaz combustibles contenant > 0,1 % p/p de butadiène",68476-26-6,270-667-2
"Gaz combustibles, distillats de pétrole brut contenant > 0,1 % p/p de butadiène",68476-29-9,270-670-9
"Hydrocarbures en C3-4 contenant > 0,1 % p/p de butadiène",68476-40-4,270-681-9
"Hydrocarbures en C4-5 contenant > 0,1 % p/p de butadiène",68476-42-6,270-682-4
"Hydrocarbures en C2-4, riches en C3 contenant > 0,1 % p/p de butadiène",68476-49-3,270-689-2
"Gaz de pétrole liquéfiés contenant > 0,1 % p/p de butadiène",68476-85-7,270-704-2
"Gaz de pétrole liquéfiés adoucis contenant > 0,1 % p/p de butadiène",68476-86-8,270-705-8
"Gaz en C3-4, riches en isobutane contenant > 0,1 % p/p de butadiène",68477-33-8,270-724-1
"Distillats en C3-6 (pétrole), riches en pipérylène contenant > 0,1 % p/p de butadiène",68477-35-0,270-726-2
"Gaz d'alimentation (pétrole), traitement aux amines, contenant > 0,1 % p/p de butadiène",68477-65-6,270-746-1
"Gaz résiduels (pétrole), production du benzène, hydrodésulfuration, contenant > 0,1 % p/p de butadiène",68477-66-7,270-747-7
"Gaz de recyclage (pétrole), production du benzène, riches en hydrogène, contenant > 0,1 % p/p de butadiène",68477-67-8,270-748-2
"Gaz d'huile mélangée (pétrole), riches en hydrogène et en azote, contenant > 0,1 % p/p de butadiène",68477-68-9,270-749-8
"Gaz de tête (pétrole), colonne de séparation du butane, contenant > 0,1 % p/p de butadiène",68477-69-0,270-750-3
"Gaz (pétrole), C2-3 contenant > 0,1 % p/p de butadiène",68477-70-3,270-751-9
"Gaz de fond (pétrole), dépropanisation de gazole de craquage catalytique, riches en C4 et désacidifiés, contenant > 0,1 % p/p de butadiène",68477-71-4,270-752-4
"Gaz de queue (pétrole), débutanisation de naphta de craquage catalytique, riches en C3-5, contenant > 0,1 % p/p de butadiène",68477-72-5,270-754-5
"Gaz de tête (pétrole), dépropanisation du naphta de craquage catalytique, riches en C3 et désacidifiés, contenant > 0,1 % p/p de butadiène",68477-73-6,270-755-0
"Gaz (pétrole), craquage catalytique, contenant > 0,1 % p/p de butadiène",68477-74-7,270-756-6
"Gaz (pétrole), craquage catalytique, riches en C1-5, contenant > 0,1 % p/p de butadiène",68477-75-8,270-757-1
"Gaz de tête (pétrole), stabilisation de naphta de polymérisation catalytique, riches en C2-4, contenant > 0,1 % p/p de butadiène",68477-76-9,270-758-7
"Gaz de tête (pétrole), rectification du naphta de reformage catalytique, contenant > 0,1 % p/p de butadiène",68477-77-0,270-759-2
"Gaz (pétrole), reformage catalytique, riches en C1-4, contenant > 0,1 % p/p de butadiène",68477-79-2,270-760-8
"Gaz de recyclage (pétrole), reformage catalytique de charges en C6-8, contenant > 0,1 % p/p de butadiène",68477-80-5,270-761-3
"Gaz (pétrole), reformage catalytique de charges en C6-8, contenant > 0,1 % p/p de butadiène",68477-81-6,270-762-9
"Gaz (pétrole), recyclage de reformage catalytique en C6-8, riches en hydrogène, contenant > 0,1 % p/p de butadiène",68477-82-7,270-763-4
"Gaz (pétrole), charge d'alkylation oléfinique et paraffinique en C3-5, contenant > 0,1 % p/p de butadiène",68477-83-8,270-765-5
"Gaz (pétrole), retour en C2, contenant > 0,1 % p/p de butadiène",68477-84-9,270-766-0
"Gaz (pétrole), riches en C4, contenant > 0,1 % p/p de butadiène",68477-85-0,270-767-6
"Gaz de tête (pétrole), déséthaniseur, contenant > 0,1 % p/p de butadiène",68477-86-1,270-768-1
"Gaz de tête (pétrole), colonne de déisobutanisation, contenant > 0,1 % p/p de butadiène",68477-87-2,270-769-7
"Gaz secs (pétrole), dépropaniseur, riches en propène, contenant > 0,1 % p/p de butadiène",68477-90-7,270-772-3
"Gaz de tête (pétrole), dépropaniseur, contenant > 0,1 % p/p de butadiène",68477-91-8,270-773-9
"Gaz acides secs résiduels (pétrole), unité de concentration des gaz, contenant > 0,1 % p/p de butadiène",68477-92-9,270-774-4
"Gaz (pétrole), réabsorbeur de concentration des gaz, distillation, contenant > 0,1 % p/p de butadiène",68477-93-0,270-776-5
"Gaz de tête (pétrole), unité de récupération des gaz, dépropaniseur, contenant > 0,1 % p/p de butadiène",68477-94-1,270-777-0
"Gaz (pétrole), charge de l'unité Girbatol, contenant > 0,1 % p/p de butadiène",68477-95-2,270-778-6
"Gaz résiduels (pétrole), absorption d'hydrogène, contenant > 0,1 % p/p de butadiène",68477-96-3,270-779-1
"Gaz (pétrole), riches en hydrogène, contenant > 0,1 % p/p de butadiène",68477-97-4,270-780-7
"Gaz de recyclage (pétrole), huile mélangée hydrotraitée, riches en hydrogène et en azote, contenant > 0,1 % p/p de butadiène",68477-98-5,270-781-2
"Gaz (pétrole), fractionnement de naphta isomérisé, riches en C4, exempts d'hydrogène sulfuré, contenant > 0,1 % p/p de butadiène",68477-99-6,270-782-8
"Gaz de recyclage (pétrole), riches en hydrogène, contenant > 0,1 % p/p de butadiène",68478-00-2,270-783-3
"Gaz d'appoint (pétrole), reformage, riches en hydrogène, contenant > 0,1 % p/p de butadiène",68478-01-03,270-784-9
"Gaz (pétrole), hydrotraitement du reformage, contenant > 0,1 % p/p de butadiène",68478-02-04,270-785-4
"Gaz (pétrole), hydrotraitement du reformage, riches en hydrogène et en méthane, contenant > 0,1 % p/p de butadiène",68478-03-05,270-787-5
"Gaz d'appoint (pétrole), hydrotraitement du reformage, riches en hydrogène, contenant > 0,1 % p/p de butadiène",68478-04-06,270-788-0
"Gaz (pétrole), distillation du craquage thermique, contenant > 0,1 % p/p de butadiène",68478-05-07,270-789-6
"Gaz résiduels (pétrole), huile clarifiée de craquage catalytique et résidu sous vide de craquage thermique, ballon de reflux de fractionnement, contenant > 0,1 % p/p de butadiène",68478-21-7,270-802-5
"Gaz résiduels (pétrole), stabilisation de naphta de craquage catalytique, absorbeur, contenant > 0,1 % p/p de butadiène",68478-22-8,270-803-0
"Gaz résiduels (pétrole), fractionnement combiné des produits de craquage catalytique, de reformage catalytique et d'hydrodésulfuration, contenant > 0,1 % p/p de butadiène",68478-24-0,270-804-6
"Gaz résiduels (pétrole), refractionnement du craquage catalytique, absorbeur, contenant > 0,1 % p/p de butadiène",68478-25-1,270-805-1
"Gaz résiduels (pétrole), stabilisation par fractionnement du naphta de reformage catalytique, contenant > 0,1 % p/p de butadiène",68478-26-2,270-806-7
"Gaz résiduels (pétrole), séparateur de naphta de reformage catalytique, contenant > 0,1 % p/p de butadiène",68478-27-3,270-807-2
"Gaz résiduels (pétrole), stabilisateur de naphta de reformage catalytique, contenant > 0,1 % p/p de butadiène",68478-28-4,270-808-8
"Gaz résiduels (pétrole), hydrotraitement de distillat de craquage, séparateur, contenant > 0,1 % p/p de butadiène",68478-29-5,270-809-3
"Gaz résiduels (pétrole), séparateur de naphta de distillation directe hydrodésulfuré, contenant > 0,1 % p/p de butadiène",68478-30-8,270-810-9
"Gaz résiduels (pétrole), mélange de l'unité de gaz saturés, riches en C4, contenant > 0,1 % p/p de butadiène",68478-32-0,270-813-5
"Gaz résiduels (pétrole), unité de récupération des gaz saturés, riches en C1-2, contenant > 0,1 % p/p de butadiène",68478-33-1,270-814-0
"Gaz résiduels (pétrole), craquage thermique de résidus sous vide, contenant > 0,1 % p/p de butadiène",68478-34-2,270-815-6
"Hydrocarbures riches en C3-4, distillat de pétrole, contenant > 0,1 % p/p de butadiène",68512-91-4,270-990-9
"Gaz (pétrole), reformage catalytique de naphta de distillation directe, produits de tête du stabilisateur, contenant > 0,1 % p/p de butadiène",68513-14-4,270-999-8
"Gaz résiduels (pétrole), déshexaniseur de naphta de distillation directe à large intervalle d'ébullition, contenant > 0,1 % p/p de butadiène",68513-15-5,271-000-8
"Gaz résiduels (pétrole), dépropaniseur d'hydrocraquage, riches en hydrocarbures, contenant > 0,1 % p/p de butadiène",68513-16-6,271-001-3
"Gaz résiduels (pétrole), stabilisateur de naphta léger de distillation directe, contenant > 0,1 % p/p de butadiène",68513-17-7,271-002-9
"Gaz résiduels (pétrole), effluent de reformage, ballon de détente à haute pression, contenant > 0,1 % p/p de butadiène",68513-18-8,271-003-4
"Gaz résiduels (pétrole), effluent de reformage, ballon de détente à basse pression, contenant > 0,1 % p/p de butadiène",68513-19-9,271-005-5
"Résidus (pétrole), séparateur d'alkylation, riches en C4, contenant > 0,1 % p/p de butadiène",68513-66-6,271-010-2
"Hydrocarbures en C1-4 contenant > 0,1 % p/p de butadiène",68514-31-8,271-032-2
"Hydrocarbures en C1-4 adoucis, contenant > 0,1 % p/p de butadiène",68514-36-3,271-038-5
"Gaz résiduels (pétrole), distillation des gaz de raffinage de l'huile, contenant > 0,1 % p/p de butadiène",68527-15-1,271-258-1
"Hydrocarbures en C1-3 contenant > 0,1 % p/p de butadiène",68527-16-2,271-259-7
"Hydrocarbures en C1-4, fraction débutanisée, contenant > 0,1 % p/p de butadiène",68527-19-5,271-261-8
"Gaz (pétrole), unité de production du benzène, hydrotraitement, produits de tête du dépentaniseur, contenant > 0,1 % p/p de butadiène",68602-82-4,271-623-5
"Gaz humides en C1-5 (pétrole), contenant > 0,1 % p/p de butadiène",68602-83-5,271-624-0
"Gaz résiduels (pétrole), absorbeur secondaire, fractionnement des produits de tête du craquage catalytique fluide, contenant > 0,1 % p/p de butadiène",68602-84-6,271-625-6
"Hydrocarbures en C2-4 contenant > 0,1 % p/p de butadiène",68606-25-7,271-734-9
"Hydrocarbures en C3, contenant > 0,1 % p/p de butadiène",68606-26-8,271-735-4
"Gaz d'alimentation pour l'alkylation (pétrole), contenant > 0,1 % p/p de butadiène",68606-27-9,271-737-5
"Gaz résiduels (pétrole), fractionnement des résidus du dépropaniseur, contenant > 0,1 % p/p de butadiène",68606-34-8,271-742-2
"Produits pétroliers, gaz de raffinerie, contenant > 0,1 % p/p de butadiène",68607-11-4,271-750-6
"Gaz (pétrole), séparateur à basse pression, hydrocraquage, contenant > 0,1 % p/p de butadiène",68783-06-02,272-182-1
"Gaz (pétrole), mélange de raffinerie, contenant > 0,1 % p/p de butadiène",68783-07-03,272-183-7
"Gaz (pétrole), craquage catalytique, contenant > 0,1 % p/p de butadiène",68783-64-2,272-203-4
"Gaz en C2-4 adoucis (pétrole), contenant > 0,1 % p/p de butadiène",68783-65-3,272-205-5
"Gaz de raffinerie (pétrole), contenant > 0,1 % p/p de butadiène",68814-67-5,272-338-9
"Gaz résiduels (pétrole), séparateur de produits de platformat, contenant > 0,1 % p/p de butadiène",68814-90-4,272-343-6
"Gaz (pétrole), kérosène sulfureux hydrotraité, stabilisateur du dépentaniseur, contenant > 0,1 % p/p de butadiène",68911-58-0,272-775-5
"Gaz (pétrole), kérosène sulfureux hydrotraité, ballon de détente, contenant > 0,1 % p/p de butadiène",68911-59-1,272-776-0
"Gaz résiduels (pétrole), fractionnement de pétrole brut, contenant > 0,1 % p/p de butadiène",68918-99-0,272-871-7
"Gaz résiduels (pétrole), déshexaniseur, contenant > 0,1 % p/p de butadiène",68919-00-6,272-872-2
"Gaz résiduels de rectification (pétrole), désulfuration Unifining de distillats, contenant > 0,1 % p/p de butadiène",68919-01-07,272-873-8
"Gaz résiduels de fractionnement (pétrole), craquage catalytique fluide, contenant > 0,1 % p/p de butadiène",68919-02-08,272-874-3
"Gaz résiduels d'absorbeur secondaire (pétrole), lavage des gaz de craquage catalytique fluide, contenant > 0,1 % p/p de butadiène",68919-03-09,272-875-9
"Gaz résiduels de rectification (pétrole), désulfuration par hydrotraitement de distillat lourd, contenant > 0,1 % p/p de butadiène",68919-04-0,272-876-4
"Gaz résiduels de stabilisateur (pétrole), fractionnement de l'essence légère de distillation directe, contenant > 0,1 % p/p de butadiène",68919-05-01,272-878-5
"Gaz résiduels de rectification (pétrole), désulfuration Unifining de naphta, contenant > 0,1 % p/p de butadiène",68919-06-02,272-879-0
"Gaz résiduels (pétrole), stabilisateur de reformage Platforming, fractionnement des coupes légères, contenant > 0,1 % p/p de butadiène",68919-07-03,272-880-6
"Gaz résiduels de prédistillation (pétrole), distillation du pétrole brut, contenant > 0,1 % p/p de butadiène",68919-08-04,272-881-1
"Gaz résiduels (pétrole), reformage catalytique de naphta de distillation directe, contenant > 0,1 % p/p de butadiène",68919-09-05,272-882-7
"Gaz résiduels (pétrole), stabilisation des coupes de distillation directe, contenant > 0,1 % p/p de butadiène",68919-10-8,272-883-2
"Gaz résiduels (pétrole), séparation du goudron, contenant > 0,1 % p/p de butadiène",68919-11-9,272-884-8
"Gaz résiduels (pétrole), rectificateur de l'unité Unifining, contenant > 0,1 % p/p de butadiène",68919-12-0,272-885-3
"Gaz (pétrole), produits de tête du séparateur, craquage catalytique fluide, contenant > 0,1 % p/p de butadiène",68919-20-0,272-893-7
"Gaz (pétrole), débutaniseur de naphta de craquage catalytique, contenant > 0,1 % p/p de butadiène",68952-76-1,273-169-3
"Gaz de queue (pétrole), stabilisateur de naphta et de distillat de craquage catalytique, contenant > 0,1 % p/p de butadiène",68952-77-2,273-170-9
"Gaz de queue (pétrole), séparateur de naphta d'hydrodésulfuration catalytique, contenant > 0,1 % p/p de butadiène",68952-79-4,273-173-5
"Gaz de queue (pétrole), hydrodésulfuration de naphta de distillation directe, contenant > 0,1 % p/p de butadiène",68952-80-7,273-174-0
"Gaz de queue (pétrole), distillat de craquage thermique, absorbeur de gazole et de naphta, contenant > 0,1 % p/p de butadiène",68952-81-8,273-175-6
"Gaz de queue (pétrole), stabilisateur de fractionnement d'hydrocarbures de craquage thermique, cokéfaction pétrolière, contenant > 0,1 % p/p de butadiène",68952-82-9,273-176-1
"Gaz légers de vapocraquage (pétrole), concentrés de butadiène, contenant > 0,1 % p/p de butadiène",68955-28-2,273-265-5
"Gaz résiduels d'absorbeur (pétrole), fractionnement des produits de tête de craquage catalytique fluide et de désulfuration du gazole, contenant > 0,1 % p/p de butadiène",68955-33-9,273-269-7
"Gaz de tête du stabilisateur (pétrole), reformage catalytique du naphta de distillation directe, contenant > 0,1 % p/p de butadiène",68955-34-0,273-270-2
"Gaz (pétrole), distillation de pétrole brut et craquage catalytique, contenant > 0,1 % p/p de butadiène",68989-88-8,273-563-5
"Hydrocarbures en C4, contenant > 0,1 % p/p de butadiène",87741-01-03,289-339-5
"Alcanes en C1-4, riches en C3, contenant > 0,1 % p/p de butadiène",90622-55-2,292-456-4
"Gaz résiduels (pétrole), lavage de gazole à la diéthanolamine, contenant > 0,1 % p/p de butadiène",92045-15-3,295-397-2
"Gaz (pétrole), hydrodésulfuration du gazole, effluent, contenant > 0,1 % p/p de butadiène",92045-16-4,295-398-8
"Gaz (pétrole), hydrodésulfuration du gazole, purge, contenant > 0,1 % p/p de butadiène",92045-17-5,295-399-3
"Gaz résiduels (pétrole), effluent du réacteur d'hydrogénation, ballon de détente, contenant > 0,1 % p/p de butadiène",92045-18-6,295-400-7
"Gaz résiduels haute pression (pétrole), vapocraquage du naphta, contenant > 0,1 % p/p de butadiène",92045-19-7,295-401-2
"Gaz résiduels (pétrole), viscoréduction de résidus, contenant > 0,1 % p/p de butadiène",92045-20-0,295-402-8
"Gaz de vapocraquage (pétrole), riches en C3, contenant > 0,1 % p/p de butadiène",92045-22-2,295-404-9
"Hydrocarbures en C4, distillats de vapocraquage, contenant > 0,1 % p/p de butadiène",92045-23-3,295-405-4
"Gaz de pétrole liquéfiés, adoucis, fraction en C4, contenant > 0,1 % p/p de butadiène",92045-80-2,295-463-0
"Hydrocarbures en C4, exempts de butadiène-1,3 et d'isobutène, contenant > 0,1 % p/p de butadiène",95465-89-7,306-004-1
"Raffinats en C3-C5 saturés et insaturés (pétrole), exempts de butadiène, extraction à l'acétate d'ammonium cuivreux de la fraction de vapocraquage en C4, contenant > 0,1 % p/p de butadiène",97722-19-5,307-769-4
"Benzo[d,e,f]chrysène (benzo[a]pyrène)",50-32-8,200-028-5
"Brai de goudron de houille et de pétrole, contenant > 0,005 % p/p de benzo[a]pyrène",68187-57-5,269-109-0
"Distillats aromatiques à noyaux condensés (charbon-pétrole), contenant > 0,005 % p/p de benzo[a]pyrène",68188-48-7,269-159-3
"Huile de créosote, fraction acénaphtène, exempte d'acénaphtène, contenant > 0,005 % p/p de benzo[a]pyrène",90640-85-0,292-606-9
"Brai de houille à basse température, contenant > 0,005 % p/p de benzo[a]pyrène",90669-57-1,292-651-4
"Brai de houille à basse température, traitement thermique, contenant > 0,005 % p/p de benzo[a]pyrène",90669-58-2,292-653-5
"Brai de houille à basse température, oxydé, contenant > 0,005 % p/p de benzo[a]pyrène",90669-59-3,292-654-0
"Résidus d'extrait de lignite, contenant > 0,005 % p/p de benzo[a]pyrène",91697-23-3,294-285-0
"Paraffines (charbon), goudron de lignite à haute température, contenant > 0,005 % p/p de benzo[a]pyrène",92045-71-1,295-454-1
"Paraffines (charbon), goudron de lignite à haute température hydrotraitées, contenant > 0,005 % p/p de benzo[a]pyrène",92045-72-2,295-455-7
"Déchets solides, cokéfaction de brai de goudron de houille, contenant > 0,005 % p/p de benzo[a]pyrène",92062-34-5,295-549-8
"Brai de goudron de houille à haute température, secondaire, contenant > 0,005 % p/p de benzo[a]pyrène",94114-13-3,302-650-3
"Résidus (charbon), extraction au solvant liquide, contenant > 0,005 % p/p de benzo[a]pyrène",94114-46-2,302-681-2
"Charbon liquide, solution d'extraction au solvant liquide, contenant > 0,005 % p/p de benzo[a]pyrène",94114-47-3,302-682-8
"Charbon liquide, extraction au solvant liquide, contenant > 0,005 % p/p de benzo[a]pyrène",94114-48-4,302-683-3
"Cires de paraffine (charbon), goudron de lignite à haute température traité au charbon, contenant > 0,005 % p/p de benzo[a]pyrène",97926-76-6,308-296-6
"Cires de paraffine (charbon), goudron de lignite à haute température traité à l'argile, contenant > 0,005 % p/p de benzo[a]pyrène",97926-77-7,308-297-1
"Cires de paraffine (charbon), goudron de lignite à haute température traité à l'acide silicique, contenant > 0,005 % p/p de benzo[a]pyrène",97926-78-8,308-298-7
"Huiles d'absorption, fraction hydrocarbures bicycliques aromatiques et hétérocycliques, contenant > 0,005 % p/p de benzo[a]pyrène",101316-45-4,309-851-5
"Hydrocarbures aromatiques polycycliques en C20-28, dérivés par pyrolyse d'un mélange brai de goudron-polyéthylène-polypropylène, contenant > 0,005 % p/p de benzo[a]pyrène",101794-74-5,309-956-6
"Hydrocarbures aromatiques polycycliques en C20-28, dérivés par pyrolyse d'un mélange brai de goudron-polyéthylène, contenant > 0,005 % p/p de benzo[a]pyrène",101794-75-6,309-957-1
"Hydrocarbures aromatiques polycycliques en C20-28, dérivés par pyrolyse d'un mélange brai de goudron-polystyrène, contenant > 0,005 % p/p de benzo[a]pyrène",101794-76-7,309-958-7
"Brai de goudron de houille à haute température, traité thermiquement, contenant > 0,005 % p/p de benzo[a]pyrène",121575-60-8,310-162-7
"Dibenzo[a,h]anthracène",53-70-3,200-181-8
Benzo[a]anthracène,56-55-3,200-280-6
Benzo[e]pyrène,192-97-2,205-892-7
Benzo[j]fluoranthène,205-82-3,205-910-3
Benzo(e)acéphénanthrylène,205-99-2,205-911-9
Benzo(k)fluoranthène,0207-08-09,205-916-6
Chrysène,0218-01-09,205-923-4
2-Bromopropane,75-26-3,200-855-1
Trichloroéthylène,79-01-6,201-167-4
"1,2-Dibromo-3-chloropropane",96-12-8,202-479-3
"2,3-Dibromopropane-1-ol; 2,3-dibromo-1-propanol",96-13-9,202-480-9
"1,3-Dichloro-2-propanol",96-23-1,202-491-9
"α,α,α-Trichlorotoluène",98-07-7,202-634-5
α-Chlorotoluène (chlorure de benzyle),100-44-7,202-853-6
"1,2-Dibromoéthane; dibromure d'éthylène",106-93-4,203-444-5
Hexachlorobenzène,118-74-1,204-273-9
Bromoéthylène (bromure de vinyle),593-60-2,209-800-6
"1,4-Dichlorobut-2-ène",764-41-0,212-121-8
Méthyloxiranne (oxyde de propylène),75-56-9,200-879-2
(Époxyéthyl)benzène (oxyde de styrène),96-09-3,202-476-7
