Endocrine disruptor assessment
Note: Group entries are split in different rows.
Export date: 05-mai-2024 16:35:43
Last updated 18-avr.-2024. Database contains 120 unique substances/entries.

"Substance Identifier"	""	
"Status"	""	
"Outcome"	""	
"Authority"	""	
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of hazard assessment (from)"	""	
"Date of hazard assessment (to)"	""	
"Latest update (from)"	""	
"Latest update (to)"	""	



"Substance name"	"DISLIST_ED_description"	"EC / List no"	"CAS no"	"Authority"	"Status"	"Outcome"	"Latest update"	"First published"	
"1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione, zinc salt"	""	"262-872-0"	"61617-00-3"	"Germany"	"Concluded"	"ED ENV"	"12-juin-2023"	"12-oct.-2018"	
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate"	""	"241-527-8"	"17527-29-6"	"Germany"	"Concluded"	"ED ENV"	"12-juin-2023"	"12-oct.-2018"	
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl methacrylate"	""	"218-407-9"	"2144-53-8"	"Germany"	"Concluded"	"ED ENV"	"12-juin-2023"	"12-oct.-2018"	
"Triphenyl phosphate"	""	"204-112-2"	"115-86-6"	"France"	"Concluded"	"ED ENV"	"12-juin-2023"	"12-oct.-2018"	
"Butanoic acid, 4-amino-4-oxosulfo-, N-coco alkyl derivs., monosodium salts, compds. with triethanolamine"	""	"308-662-5"	"98171-53-0"	"France"	"Under development under SEV"	"Under development (SEV)"	"19-juil.-2023"	"19-juil.-2023"	
"Dioctyltin oxide"	""	"212-791-1"	"870-08-6"	"Austria"	"Under development under SEV"	"Under development (SEV)"	"19-juil.-2023"	"19-juil.-2023"	
"[1,3(or 1,4)-phenylenebis(1-methylethylidene)]bis[tert-butyl] peroxide"	""	"246-678-3"	"25155-25-3"	"Netherlands"	"Under development"	"Under development (SEV)"	"14-août-2023"	"14-août-2023"	
"Propyl 4-hydroxybenzoate"	""	"202-307-7"	"94-13-3"	"Belgium"	"Concluded"	"ED ENV"	"01-sept.-2023"	"12-oct.-2018"	
"Medetomidine"	""	"811-718-6"	"86347-14-0"	"Norway"	"Under development"	"Under development (BPR)"	"15-sept.-2023"	"10-mars-2023"	
"Salicylic acid"	""	"200-712-3"	"69-72-7"	"Netherlands"	"Under development"	"Under development (BPR)"	"15-sept.-2023"	"15-sept.-2023"	
"2-Propenoic acid, methyl ester, reaction products with mixed O,O-bis(branched and linear pentyl and iso-Bu) phosphorodithioates"	""	"300-340-2"	"93925-38-3"	"Sweden"	"Under development under SEV"	"Under development (SEV)"	"25-sept.-2023"	"25-sept.-2023"	
"Dicyclohexyl phthalate"	""	"201-545-9"	"84-61-7"	"Sweden"	"Concluded"	"ED ENV"	"04-oct.-2023"	"03-nov.-2020"	
"4,4'-methylenedi-2,6-xylenol"	""	"226-378-9"	"5384-21-4"	"Germany"	"Under development"	"Under development (other)"	"16-oct.-2023"	"16-oct.-2023"	
"2-ethylhexyl (2E)-3-(4-methoxyphenyl)acrylate"	""	"629-661-9"	"83834-59-7"	"Germany"	"Concluded"	"inconclusive"	"23-nov.-2023"	"12-oct.-2018"	
"3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin"	""	"259-978-4"	"56073-07-5"	"Finland"	"Under development"	"Under development (BPR)"	"16-janv.-2024"	"16-janv.-2024"	
"4-tert-butylphenol"	""	"202-679-0"	"98-54-4"	"Germany"	"Concluded"	"ED ENV""inconclusive"	"22-févr.-2024"	"04-oct.-2018"	
"Benzotriazole"	""	"202-394-1"	"95-14-7"	"Germany"	"Concluded"	"ED ENV"	"22-févr.-2024"	"12-oct.-2018"	
"Diethylmethylbenzenediamine"	""	"270-877-4"	"68479-98-1"	"Denmark"	"Concluded"	"inconclusive"	"22-févr.-2024"	"12-oct.-2018"	
"3-aminopropyldiethylamine"	""	"203-236-4"	"104-78-9"	""	"Under development"	"Under development (other)"	"19-mars-2024"	"19-mars-2024"	
"[1α(S*),3α]-(α)-cyano-(3-phenoxyphenyl)methyl3-(2,2-dichlor-oethenyl)-2,2-dichlorovinyl)-2,2-dimethyl-cyclopropanecarboxylate αCypermethrin)"	""	"614-054-3"	"67375-30-8"	""	"Under development"	"Under development (BPR)"	"19-mars-2024"	"19-mars-2024"	
"p-(1,1-dimethylpropyl)phenol"	""	"201-280-9"	"80-46-6"	"Germany"	"Concluded"	"ED ENV""inconclusive"	"19-mars-2024"	"04-oct.-2018"	
"chlorfenapyr (ISO); 4-bromo-2-(4-chlorophenyl)-1- ethoxymethyl-5-trifluoromethylpyrrole-3-carbonitrile"	""	"602-782-4"	"122453-73-0"	"Portugal"	"Under development"	"Under development (BPR)"	"04-avr.-2024"	"19-mars-2024"	
"Mono- and di-phthalate esters with linear and/or branched alkyl moieties with at least one longest continuous carbon chain counted from the ester function corresponding to C4-C6 and/or with C6 cyclic saturated carbon chains and/or with unsaturated hydrocarbyl moieties"	""	"-"	"-"	"France"	"Under development"	"Under development (other)"	"18-avr.-2024"	"18-avr.-2024"	
